time,x,y,z,x_velocity,y_velocity,z_velocity
346,150.0,146.627916956,181.452717308,11.1859287102,5.6888516464,28.6295117409
347,147.92795343,150.0,183.106710085,5.60777359037,9.98654937057,29.2718311258
348,150.0,144.5959453,202.892552762,5.14561273391,3.16794806054,29.7640860639
349,150.0,147.835507586,187.72368175,6.96828782268,4.8383537989,30.2868748032
350,144.733563826,150.0,166.306973424,8.54050639613,14.046869197,27.7557448732
351,150.0,147.228640118,164.598754689,14.2313742758,11.2762131472,26.4706244442
352,150.0,141.347335347,201.453384912,5.15350921464,-1.4580536334,30.2709311959
353,148.042086999,142.96800411,217.217187955,1.9684169433,0.166080815308,29.8807050547
354,150.0,143.275115778,180.839237825,10.1904981926,5.12006380618,29.3085699067
355,150.0,143.279404784,153.505467385,17.8830654533,11.6036498221,24.6670779443
356,145.297220321,150.0,158.03748488,11.7910607715,16.6294884087,25.0977675119
357,148.375072067,150.0,166.539734372,12.4833174993,12.9050158511,26.2716142784
358,150.0,142.933270303,169.492274058,13.4913708849,7.42368317042,27.8174365752
359,136.297345591,150.0,172.349756526,-0.0565931704405,11.984604463,30.2827260819
360,150.0,147.130012908,166.791458092,13.6245193089,12.1453198944,25.4472285573
361,150.0,145.477271375,160.526597471,15.600242407,11.5756505796,25.6919330788
362,144.635456967,150.0,161.270761541,11.2981933668,14.7032198081,26.4158443486
363,150.0,142.937543552,183.177054286,9.20069043356,4.8163326045,29.6070168911
364,150.0,146.142748969,172.856159237,11.171044471,9.03110691726,28.2076128883
365,150.0,145.301825299,179.873114622,10.7550204665,6.91549700702,28.4716090688
366,144.760316093,144.202581429,217.232245258,-1.11862580187,-1.50998874005,30.3343126025
367,150.0,146.418763374,167.758898954,12.3879219386,9.53860675437,28.2390364807
368,150.0,147.142754727,156.570580105,16.2389644994,13.8573212827,24.018264081
369,149.379429828,150.0,165.840701796,12.608351296,13.0227290934,26.217068645
370,142.209452393,150.0,181.001110954,1.81600021939,10.7246979449,29.7431530889
371,150.0,147.655429782,183.524342801,7.95977531723,6.46196350385,29.8082412176
372,150.0,149.138396964,173.618270516,11.0614666333,10.9496353744,27.3699552
373,150.0,146.606629007,179.48785781,9.47151739304,7.42247773236,29.1651365408
374,150.0,144.778751057,157.937869623,16.2099906566,12.1110483433,25.0168309446
375,144.398711939,150.0,180.391472516,6.5761459037,8.88907337659,29.3171694261
376,150.0,142.445289211,162.216000352,15.1796006341,7.9217248143,27.6644728557
377,144.214003265,150.0,194.996593285,3.20710912949,7.68167632646,29.3201136096
378,150.0,149.771976131,160.191122629,15.2890639012,13.9007695992,24.5868672998
379,149.207447643,150.0,160.875924886,13.309086255,13.7519913798,26.2314646834
380,150.0,142.623487656,174.479743795,11.3619367659,5.2790680975,29.3570233558
381,150.0,144.939927077,179.995669763,10.9746555924,3.67481198135,29.4802446637
382,150.0,142.12012197,157.680146249,16.9959568296,8.6266458455,26.8238995811
383,144.754377499,150.0,180.23866851,4.92464024349,8.44707947766,30.4450777203
384,148.937592162,150.0,154.871764141,13.8478729783,17.3496936988,23.4867126698
385,137.242944691,150.0,192.870001895,-1.87476876563,6.31000817447,30.5752834037
386,146.004703332,150.0,181.685124383,7.09458292947,9.02572653416,29.0429135427
387,150.0,147.712279565,169.792391315,11.379965063,10.5299668261,28.0588149386
388,148.199553362,150.0,158.844393727,12.6264686584,14.8467612507,26.1918318927
389,147.978437842,150.0,164.274560633,12.0864793273,12.5808343805,27.2120905494
390,150.0,146.302946192,174.933622206,10.2383067766,8.21565892489,28.9504477419
391,150.0,148.723656389,185.131651944,8.94452160833,7.6072827954,28.7844861494
392,145.386762701,150.0,170.8389271,5.66470987603,11.0499415918,30.0763744456
393,150.0,144.041549034,168.87825156,13.9807242286,7.72368857316,27.4640835345
394,150.0,150.0,159.482913486,15.2496362941,13.5626734608,25.0606371742
395,143.632301639,150.0,164.032971893,8.46031005826,15.3422321447,26.9704200974
396,150.0,144.692669539,158.780866635,15.5086957652,10.7882135425,26.4492995034
397,150.0,147.037823612,181.433699518,8.09866593187,4.25407073498,30.7671169741
398,142.749719285,150.0,174.128597232,4.00969959792,12.1063111556,29.4153871384
399,149.162719757,150.0,166.383813695,11.7237893719,12.4813299324,27.2992105541
400,150.0,149.71700816,159.961315056,15.1009966595,14.4255760862,24.2156840285
401,147.930102011,150.0,171.892572485,10.0807165231,10.4028182333,28.4890795796
402,150.0,146.857475057,192.058099537,4.88469290109,4.18026300608,30.5712447327
403,142.865304977,150.0,185.052899582,2.46417133842,8.65166334663,30.1431848151
404,150.0,147.825173408,191.729846832,6.2311194885,4.11140860173,30.214173554
405,144.725866825,150.0,163.731010867,10.6015870082,14.8499336313,26.1938779544
406,150.0,150.0,162.946245386,13.3821204215,12.8614455985,26.4295938633
407,150.0,147.47239726,176.872373743,9.564716568,7.56742280126,29.3541125875
408,146.766922146,150.0,169.953368749,9.39841792286,12.1410927708,28.0063871464
409,150.0,143.823184568,200.844855636,7.42476343665,2.36845517159,29.0714245615
410,150.0,144.310303172,164.132018823,14.4917858777,8.95124852828,27.4113747982
411,150.0,144.644460798,163.52108247,15.3632309712,9.64075856657,26.4482612023
412,145.104935489,150.0,166.0564951,8.68414164798,14.5762333569,27.2754615426
413,150.0,142.273325513,170.115560786,12.6436702189,5.35122679484,29.3327716105
414,150.0,149.557285922,163.014123102,14.0006694219,13.0035771452,25.6671570298
415,144.460093487,150.0,196.925371143,3.12078467991,4.16054411067,30.4018672939
416,150.0,145.037762717,166.136488906,13.3862539085,8.84569497528,28.0688392503
417,149.747097651,150.0,184.504773831,7.65638794233,7.94625386434,29.2820556037
418,150.0,147.087975292,157.130284283,15.3709584602,12.72529204,25.8211688816
419,150.0,144.52289237,173.648874842,12.3089248788,7.46762271258,28.0252013463
420,147.95682044,150.0,169.138960735,11.2720940456,12.722289113,26.685696693
421,150.0,150.0,177.228059914,11.7510989162,9.50567559701,27.3396630716
422,149.259059305,150.0,173.394261965,9.98830279776,11.3754507819,27.8736443711
423,150.0,145.776932126,160.546875448,15.91958596,11.0492127728,25.7654842275
424,150.0,140.959745342,207.326384216,3.87734248572,-1.57058819808,30.1510136836
425,150.0,147.242819011,172.113452975,11.2240848586,9.16314208289,28.3751486335
426,135.472705896,142.937288384,219.033045156,-7.52868612189,-2.6079511018,29.7350470003
427,148.165340858,150.0,163.793287542,11.6654586257,14.9656341512,25.6907334382
428,150.0,150.0,177.580599911,9.04571432764,10.8805943836,28.1013522992
429,137.406954809,150.0,193.049809101,0.38422582772,8.02078802893,29.7620015426
430,149.138715943,150.0,175.840136821,8.00306502953,10.7647799133,28.8031475357
431,150.0,140.587353623,165.531722562,15.0563953747,6.3717634364,27.7957671997
432,150.0,145.283816526,177.895470605,9.81196422941,5.42600653332,29.9461336959
433,150.0,148.750320061,180.552998533,9.97390220371,9.05399826269,28.0254602928
434,147.745521283,150.0,171.825563715,9.49380750963,11.7648263567,27.9635898722
435,150.0,146.955973491,185.710128993,8.8502484137,5.40392923961,29.3123379612
436,150.0,150.0,172.72672892,10.8304538107,10.87393435,27.7971301971
437,150.0,143.199946935,171.777599418,11.5957415206,5.62386356955,29.4969029834
438,150.0,144.84468791,177.895664521,10.5411462572,6.77754079497,28.9852499468
439,150.0,135.386468343,170.393073267,13.8246309834,1.37697090257,29.1362350076
440,150.0,149.717343628,154.739211294,15.9293793637,15.1372180192,23.8663962069
441,145.496216125,150.0,170.351320144,8.50919260333,13.6648678668,27.2029558615
442,150.0,150.0,173.075694518,11.7283914909,10.4932033543,27.4038553321
443,150.0,146.634826466,154.069658044,17.3118742679,13.7879619215,23.5241868367
444,150.0,143.813580191,169.296362505,13.3222616612,6.82132094589,28.4635196107
445,150.0,147.645572995,153.325792949,17.1905826744,14.8964263724,23.1673948964
446,150.0,149.682842142,170.901306586,12.4386503675,9.97431070807,27.589635796
447,149.353344387,150.0,173.447646611,11.9026763509,9.8100833086,27.6117510042
448,150.0,144.042804831,156.325767989,16.2620653435,11.3739934478,26.0041381661
449,149.054322139,150.0,160.551086519,13.7711939436,15.3250656677,24.2823356597
450,136.093785278,130.384561696,220.082370057,-4.42776220129,-11.4155777263,28.3243736853
451,148.938138426,150.0,157.918337952,14.0096129524,15.8060592987,24.4715314733
452,150.0,149.007177151,173.669266705,11.035157845,9.07395592345,28.367330782
453,150.0,148.900670061,173.855738412,10.1905668687,10.2977438859,28.2956699095
454,150.0,145.89160626,168.285894057,12.6312294879,8.104390178,28.6721235278
455,150.0,143.211963216,169.407012941,13.6521150681,7.20297291352,27.8022972018
456,150.0,147.046345501,174.412127877,11.8681765483,8.09032022077,28.1776884919
457,150.0,150.0,167.969164606,12.428095482,12.9811219541,26.1940047561
458,148.095327141,150.0,161.50332712,12.811317373,14.6941581052,25.6075368069
459,150.0,143.770110902,178.464920376,10.4274922829,3.99004953554,29.8101968574
460,143.585633788,150.0,171.532579772,6.34892613403,12.1272759939,29.0105196856
461,145.406506472,150.0,165.581524318,9.59055239567,14.2153097569,27.0374149285
462,143.591732176,150.0,178.234688432,4.66797879581,11.6230346541,28.8807656345
463,150.0,143.993780067,173.883765039,11.9514675515,5.40205046309,29.0861616502
464,150.0,147.102392471,169.352567571,13.5512490464,10.8364825546,26.1933710389
465,149.299761717,150.0,168.712797996,11.2315549987,11.8662343582,27.637154901
466,150.0,148.437554287,163.529211738,14.9417529944,12.4094775207,25.0131141365
467,150.0,140.397757031,170.824808504,13.1305505362,5.25287751496,28.5391550032
468,150.0,146.104784097,154.274593043,16.6698463007,13.5632375063,24.4601699626
469,150.0,142.995009908,176.408533591,9.41806930472,5.48809625209,30.0332901023
470,145.510590458,150.0,165.703759924,10.4991764615,14.4330861184,26.0666037794
471,141.848437127,150.0,174.506536823,4.29770539958,12.2075484285,29.1137884216
472,150.0,135.95503499,196.874524176,8.15854483583,-4.48466265783,29.6574879466
473,147.794041817,150.0,164.624356804,12.9056538714,13.0022897126,26.2465364664
474,140.681672733,150.0,195.823838811,-0.422514690285,7.24065480588,29.9183378599
475,150.0,143.337600094,162.213262156,15.3787611829,8.86043540666,27.2380629806
476,150.0,144.150386777,166.6069188,13.2708961935,9.82413192123,27.3959741229
477,145.51097672,150.0,162.986361146,11.0158498317,14.036582017,26.7707764123
478,150.0,143.14103791,171.657924424,13.4196678114,6.12581319307,28.2065223321
479,150.0,148.399908976,171.312114912,11.2658434957,11.3106752897,27.3563818579
480,146.053294668,150.0,181.648123149,5.05464571931,10.7932401067,29.0545352709
481,150.0,141.38076765,160.046000547,16.6649865821,8.8574427101,26.2872922642
482,150.0,149.973208577,175.465778065,10.5552876323,10.5316592567,27.7880845856
483,144.924674534,150.0,161.009579755,11.5560546393,14.8843869721,26.1145893601
484,146.712903659,150.0,172.335363693,7.8455242123,12.2690527175,28.4977978109
485,150.0,146.71187936,167.567021891,12.7737757422,9.99287300458,27.6251960846
486,143.876628446,150.0,161.876008155,9.12130794021,15.4521104563,27.0523994857
487,148.641013871,150.0,187.463886562,6.01850462219,5.65590591704,30.5077744828
488,150.0,144.302433812,169.069906188,12.9961569127,7.39426433574,28.3451320296
489,150.0,149.317416073,193.298201176,5.93325499434,5.2851733869,30.0153176744
490,150.0,145.128637092,175.492086212,12.0454231486,6.11418031411,28.7096545746
